Date,Artist,Song Name,Song Korean Name,Song Type
2/3/2020,Dreamcatcher,Red Sun,,Minor
1/24/2020,Nature,I'm So Pretty (Japanese ver.),,Japanese
1/22/2020,Gavy NJ,I’m in Sinchon,신촌에 왔어,Major
1/15/2020,CRAXY,My Universe,,Minor
1/10/2020,ANS,Say My Name,,Major
1/8/2020,DreamNote,Wish,바라다,Major
1/7/2020,Red Velvet,Remember Forever,,Minor
12/30/2019,Momoland,Thumbs Up,,Major
12/23/2019,Red Velvet,Psycho,,Major
12/2/2019,Hi Cutie,Lovely Day,러블리데이,Minor
11/26/2019,AOA,Come See Me,날 보러 와요,Major
11/19/2019,WJSN,As You Wish,이루리,Major
11/14/2019,Mamamoo,Hip,,Major
11/12/2019,Nature,OOPSIE (My Bad),,Major
11/5/2019,BVNDIT,Dumb,,Major
11/3/2019,Hinapia,Drip,,Major
10/30/2019,GFRIEND,Fallin' Light,,Japanese
10/28/2019,Brown Eyed Girls,Abandoned,,Major
10/28/2019,Brown Eyed Girls,Wonder Woman,,Major
10/27/2019,We Girls,Heart Beat,,Minor
10/25/2019,Favorite,Catch Me,,Japanese
10/25/2019,Sunny Hill,NomNomNom,놈놈놈,Major
10/24/2019,Karin (WishGirls),Ka Ka Ka feat. Hyejin,,Special
10/23/2019,Ariaz,Moonlight Aria,까만 밤의 아리아,Major
10/17/2019,Twice,Fake & True,,Japanese
10/10/2019,Ladies' Code,SET ME FREE,,Major
10/4/2019,Limesoda,Wave,웨이브,Major
9/29/2019,PURPLEBECK,Dream Line,,Major
9/26/2019,Sonamoo,We Are LEGENDARY,,CF
9/23/2019,Twice,Feel Special,,Major
9/19/2019,Saturday,Bbyong,뿅,Major
9/19/2019,LABOUM,Firework,불꽃놀이,Major
9/18/2019,Dreamcatcher,Deja Vu,데자부,Major
9/17/2019,3YE,OOMM,,Major
9/16/2019,ANS,Boom Boom,붐붐,Major
9/16/2019,GWSN,Total Eclipse (Black Out),,Minor
9/12/2019,IZ*One,Vampire,,Japanese
9/11/2019,PIERCE,Villain,빌런,Major
9/11/2019,Bolbbalgan4,25,,Minor
9/10/2019,Bolbbalgan4,Workaholic,워커홀릭,Major
9/9/2019,Dreamcatcher,Breaking Out,,Japanese
9/9/2019,We Girls,Ride,,Major
9/9/2019,GIRLKIND XJR,All You Want,,Minor
9/6/2019,CLC,Devil,데빌,Major
9/5/2019,"Choa, Way",My Universe,나의 우주,Major
9/2/2019,Momoland,Pinky Love,,Japanese
8/29/2019,Lalary,Lalary,랄라리,Major
8/27/2019,Fanxy Red,T.O.P,,Major
8/27/2019,GIRLKIND XJR,Money Talk,머니토크,Major
8/22/2019,G-reyish,KKILI KKILI,끼리끼리,Major
8/20/2019,Celeb Five,I wish I could unsee that,안 본 눈 삽니다,Special
8/19/2019,Everglow,Adios,,Major
8/19/2019,Holics,I'm Ur Fan,,Major
8/19/2019,Red Velvet,Umpah Umpah,,Major
8/18/2019,GSA,We Got The Power,,Major
8/16/2019,ANS,Wonderland,,Minor
8/13/2019,Weki Meki,Tiki-Taka(99%),,Major
8/7/2019,Rocket Punch,Bim Bam Bum,빔밤붐,Major
8/6/2019,FANATICS,Sunday,,Major
8/6/2019,VENUS,Turn Signal,깜빡이,Major
8/5/2019,Pink Fantasy,Fantasy,,Major
8/5/2019,Oh My Girl,Bungee (Fall In Love),번지,Major
7/31/2019,Red Velvet,Milkshake,밀크쉐이크,Special
7/30/2019,CatChuuuu,Catch U,캣치 유,Major
7/30/2019,Busters,Pinky Promise,,Major
7/28/2019,Z-GIRLS,Streets of Gold,,Major
